state,municipality,district,subdistrict,id
ES,Colatina,Colatina,,32015060500
ES,Colatina,Ângelo Frechiani,,32015061000
ES,Colatina,Baunilha,,32015061500
ES,Colatina,Boapaba,,32015062000
ES,Colatina,Graça Aranha,,32015063000
ES,Colatina,Itapina,,32015063500
ES,Conceição da Barra,Conceição da Barra,,32016050500
ES,Conceição da Barra,Braço do Rio,,32016050700
ES,Conceição da Barra,Itaúnas,,32016051000
ES,Conceição do Castelo,Conceição do Castelo,,32017040500
ES,Divino de São Lourenço,Divino de São Lourenço,,32018030500
ES,Domingos Martins,Domingos Martins,,32019020500
ES,Domingos Martins,Aracê,,32019021000
ES,Domingos Martins,Biriricas,,32019021300
ES,Domingos Martins,Isabel,,32019022000
ES,Domingos Martins,Melgaço,,32019023000
ES,Domingos Martins,Paraju,,32019023500
ES,Dores do Rio Preto,Dores do Rio Preto,,32020090500
ES,Dores do Rio Preto,Mundo Novo,,32020091000
ES,Dores do Rio Preto,São Raimundo da Pedra Menina,,32020091500
ES,Ecoporanga,Ecoporanga,,32021080500
ES,Ecoporanga,Cotaxé,,32021081000
ES,Ecoporanga,Imburana,,32021081500
ES,Ecoporanga,Joaçuba,,32021082000
ES,Ecoporanga,Muritiba,,32021082200
ES,Ecoporanga,Prata dos Baianos,,32021082300
ES,Ecoporanga,Santa Luzia do Norte,,32021083000
ES,Ecoporanga,Santa Terezinha,,32021084000
ES,Fundão,Fundão,,32022070500
ES,Fundão,Irundi,,32022071000
ES,Fundão,Praia Grande,,32022071300
ES,Fundão,Timbuí,,32022071500
ES,Governador Lindenberg,Governador Lindenberg,,32022560500
ES,Governador Lindenberg,Moacir Ávidos,,32022561000
ES,Governador Lindenberg,Morello,,32022561300
ES,Governador Lindenberg,Novo Brasil,,32022561500
ES,Guaçuí,Guaçuí,,32023060500
ES,Guaçuí,São Miguel do Caparaó,,32023060800
ES,Guaçuí,São Pedro de Rates,,32023061000
ES,Guaçuí,São Tiago,,32023061500
ES,Guarapari,Guarapari,,32024050500
ES,Guarapari,Rio Calçado,,32024051000
ES,Guarapari,Todos os Santos,,32024051500
ES,Ibatiba,Ibatiba,,32024540500
ES,Ibiraçu,Ibiraçu,,32025040500
ES,Ibiraçu,Pendanga,,32025042000
ES,Ibitirama,Ibitirama,,32025530500
ES,Ibitirama,Santa Marta,,32025531000
ES,Iconha,Iconha,,32026030500
ES,Iconha,Duas Barras,,32026031000
ES,Irupi,Irupi,,32026520500
ES,Irupi,Santa Cruz de Irupi,,32026522000
ES,Itaguaçu,Itaguaçu,,32027020500
ES,Itaguaçu,Itaçu,,32027021000
ES,Itaguaçu,Itaimbé,,32027021500
ES,Itaguaçu,Palmeira,,32027022500
ES,Itapemirim,Itapemirim,,32028010500
ES,Itapemirim,Itaipava,,32028010900
ES,Itapemirim,Itapecoá,,32028011000
ES,Itapemirim,Piabanha do Norte,,32028011400
ES,Itapemirim,Rio Muqui,,32028011500
ES,Itarana,Itarana,,32029000500
ES,Iúna,Iúna,,32030070500
ES,Iúna,Pequiá,,32030072000
ES,Iúna,Nossa Senhora das Graças,,32030072300
ES,Iúna,Santíssima Trindade,,32030072500
ES,Iúna,São João do Príncipe,,32030073000
ES,Jaguaré,Jaguaré,,32030560500
ES,Jaguaré,Barra Seca,,32030561000
ES,Jaguaré,Nossa Senhora de Fátima,,32030562000
ES,Jerônimo Monteiro,Jerônimo Monteiro,,32031060500
ES,João Neiva,João Neiva,,32031300500
ES,João Neiva,Acioli,,32031301000
ES,Laranja da Terra,Laranja da Terra,,32031630500
ES,Laranja da Terra,Joatuba,,32031631500
ES,Laranja da Terra,São Luiz de Miranda,,32031632000
ES,Laranja da Terra,Sobreiro,,32031632500
ES,Laranja da Terra,Vila de Laranja da Terra,,32031633000
ES,Linhares,Linhares,,32032050500
ES,Linhares,Bebedouro,,32032050700
ES,Linhares,Desengano,,32032051000
ES,Linhares,Farias,,32032051200
ES,Linhares,Pontal do Ipiranga,,32032051300
ES,Linhares,Povoação,,32032051400
ES,Linhares,Regência,,32032051500
ES,Linhares,Rio Quartel,,32032052300
ES,Linhares,São Rafael,,32032052500
ES,Mantenópolis,Mantenópolis,,32033040500
ES,Mantenópolis,Santa Luzia de Mantenópolis,,32033041000
ES,Mantenópolis,São Geraldo,,32033041500
ES,Mantenópolis,São José de Mantenópolis,,32033042500
ES,Marataízes,Marataízes,,32033200500
ES,Marataízes,Barra do Itapemirim,,32033201000
ES,Marechal Floriano,Marechal Floriano,,32033460500
ES,Marechal Floriano,Araguaia,,32033461000
ES,Marechal Floriano,Santa Maria de Marechal,,32033462500
ES,Marilândia,Marilândia,,32033530500
ES,Marilândia,Sapucaia,,32033531000
ES,Mimoso do Sul,Mimoso do Sul,,32034030500
ES,Mimoso do Sul,Conceição do Muqui,,32034031000
ES,Mimoso do Sul,Dona América,,32034031500
ES,Mimoso do Sul,Ponte de Itabapoana,,32034032000
ES,Mimoso do Sul,Santo Antônio do Muqui,,32034032500
ES,Mimoso do Sul,São José das Torres,,32034033000
ES,Mimoso do Sul,São Pedro de Itabapoana,,32034033500
ES,Montanha,Montanha,,32035020500
ES,Montanha,Vinhático,,32035021000
ES,Mucurici,Mucurici,,32036010500
ES,Mucurici,Itabaiana,,32036011000
ES,Muniz Freire,Muniz Freire,,32037000500
ES,Muniz Freire,Alto Norte,,32037000800
ES,Muniz Freire,Itaici,,32037001000
ES,Muniz Freire,Menino Jesus,,32037001500
ES,Muniz Freire,Piaçu,,32037002000
ES,Muniz Freire,São Pedro,,32037002300
ES,Muniz Freire,Vieira Machado,,32037002500
ES,Muqui,Muqui,,32038090500
ES,Muqui,Camará,,32038091000
ES,Nova Venécia,Nova Venécia,,32039080500
ES,Nova Venécia,Guararema,,32039081500
ES,Nova Venécia,Santo Antônio do Quinze,,32039083000
ES,Pancas,Pancas,,32040050500
ES,Pancas,Lajinha,,32040051500
ES,Pancas,Vila Verde,,32040052500
ES,Pedro Canário,Pedro Canário,,32040540500
ES,Pedro Canário,Cristal do Norte,,32040541500
ES,Pinheiros,Pinheiros,,32041040500
ES,Pinheiros,São João do Sobrado,,32041041000
ES,Piúma,Piúma,,32042030500
ES,Piúma,Aghá,,32042031000
ES,Ponto Belo,Ponto Belo,,32042520500
ES,Ponto Belo,Itamira,,32042521500
ES,Presidente Kennedy,Presidente Kennedy,,32043020500
ES,Rio Bananal,Rio Bananal,,32043510500
ES,Rio Bananal,São Jorge de Tiradentes,,32043514500
ES,Rio Novo do Sul,Rio Novo do Sul,,32044010500
ES,Rio Novo do Sul,Princesa,,32044011000
ES,Santa Leopoldina,Santa Leopoldina,,32045000500
ES,Santa Leopoldina,Djalma Coutinho,,32045001000
ES,Santa Leopoldina,Mangaraí,,32045002500
ES,Santa Maria de Jetibá,Santa Maria de Jetibá,,32045590500
ES,Santa Maria de Jetibá,Garrafão,,32045591500
ES,Santa Teresa,Santa Teresa,,32046090500
ES,Santa Teresa,Alto Caldeirão,,32046090700
ES,Santa Teresa,Alto Santa Maria,,32046091000
ES,Santa Teresa,Santo Antônio do Canaã,,32046091700
ES,Santa Teresa,São João de Petrópolis,,32046092000
ES,Santa Teresa,Vinte e Cinco de Julho,,32046092500
ES,São Domingos do Norte,São Domingos do Norte,,32046580500
ES,São Gabriel da Palha,São Gabriel da Palha,,32047080500
ES,São Gabriel da Palha,Fartura,,32047081500
ES,São José do Calçado,São José do Calçado,,32048070500
ES,São José do Calçado,Airituba,,32048071000
ES,São José do Calçado,Alto Calçado,,32048071500
ES,São José do Calçado,Divino Espírito Santo,,32048072000
ES,São Mateus,São Mateus,,32049060500
ES,São Mateus,Barra Nova,,32049061000
ES,São Mateus,Itauninhas,,32049062000
ES,São Mateus,Nestor Gomes,,32049063000
ES,São Mateus,Nova Verona,,32049063500
ES,São Roque do Canaã,São Roque do Canaã,,32049550500
ES,São Roque do Canaã,Santa Júlia,,32049552000
ES,São Roque do Canaã,São Jacinto,,32049552500
ES,Serra,Serra,Região do Civit,32050020511
