UF,Município,Nome Município,Distrito,Nome Distrito,Subdistrito,Nome Subdistrito,Arquivo
MG,3103405,Araçuaí,10,Engenheiro Schnoor,00,,31034051000
MG,3103405,Araçuaí,15,Itira,00,,31034051500
MG,3103504,Araguari,05,Araguari,00,,31035040500
MG,3103504,Araguari,10,Amanhece,00,,31035041000
MG,3103504,Araguari,15,Florestina,00,,31035041500
MG,3103504,Araguari,20,Piracaíba,00,,31035042000
MG,3103603,Arantina,05,Arantina,00,,31036030500
MG,3103702,Araponga,05,Araponga,00,,31037020500
MG,3103702,Araponga,10,Estêvão de Araújo,00,,31037021000
MG,3103751,Araporã,05,Araporã,00,,31037510500
MG,3103801,Arapuá,05,Arapuá,00,,31038010500
MG,3103900,Araújos,05,Araújos,00,,31039000500
MG,3104007,Araxá,05,Araxá,00,,31040070500
MG,3104007,Araxá,15,Itaipu de Araxá,00,,31040071500
MG,3104106,Arceburgo,05,Arceburgo,00,,31041060500
MG,3104205,Arcos,05,Arcos,00,,31042050500
MG,3104304,Areado,05,Areado,00,,31043040500
MG,3104403,Argirita,05,Argirita,00,,31044030500
MG,3104452,Aricanduva,05,Aricanduva,00,,31044520500
MG,3104502,Arinos,05,Arinos,00,,31045020500
MG,3104502,Arinos,15,Pic Sagarana,00,,31045021500
MG,3104502,Arinos,20,Vila Bom Jesus,00,,31045022000
MG,3104601,Astolfo Dutra,05,Astolfo Dutra,00,,31046010500
MG,3104601,Astolfo Dutra,10,Santana do Campestre,00,,31046011000
MG,3104601,Astolfo Dutra,15,Sobral Pinto,00,,31046011500
MG,3104700,Ataléia,05,Ataléia,00,,31047000500
MG,3104700,Ataléia,10,Fidelândia,00,,31047001000
MG,3104700,Ataléia,15,Novo Horizonte,00,,31047001500
MG,3104809,Augusto de Lima,05,Augusto de Lima,00,,31048090500
MG,3104908,Baependi,05,Baependi,00,,31049080500
MG,3105004,Baldim,05,Baldim,00,,31050040500
MG,3105004,Baldim,10,Amanda,00,,31050041000
MG,3105004,Baldim,15,São Vicente,00,,31050041500
MG,3105103,Bambuí,05,Bambuí,00,,31051030500
MG,3105202,Bandeira,05,Bandeira,00,,31052020500
MG,3105301,Bandeira do Sul,05,Bandeira do Sul,00,,31053010500
MG,3105400,Barão de Cocais,05,Barão de Cocais,00,,31054000500
MG,3105400,Barão de Cocais,10,Cocais,00,,31054001000
MG,3105509,Barão de Monte Alto,05,Barão de Monte Alto,00,,31055090500
MG,3105509,Barão de Monte Alto,10,Cachoeira Alegre,00,,31055091000
MG,3105509,Barão de Monte Alto,15,Silveira Carvalho,00,,31055091500
